zipcode,total_requests,closed_requests,open_requests,closed_within_90,closed_within_180,open_share,closed_within_90_share,closed_within_180_share,median_close_days,p90_close_days
19102,4,1,3,1,1,0.75,0.25,0.25,41.3,41.3
19103,10,2,8,2,2,0.8,0.2,0.2,40.5,56.9
19104,422,115,307,45,89,0.7275,0.1066,0.2109,114.2,237.5
19106,29,13,16,11,13,0.5517,0.3793,0.4483,28.0,95.1
19107,36,12,24,10,12,0.6667,0.2778,0.3333,20.7,99.4
19111,1401,844,557,270,532,0.3976,0.1927,0.3797,133.1,305.4
19112,4,0,4,0,0,1.0,0.0,0.0,,
19114,358,178,180,52,149,0.5028,0.1453,0.4162,115.7,200.2
19115,297,207,90,93,188,0.303,0.3131,0.633,99.4,165.0
19116,318,218,100,81,155,0.3145,0.2547,0.4874,124.3,268.5
19118,73,56,17,24,47,0.2329,0.3288,0.6438,102.9,191.5
19119,469,369,100,70,189,0.2132,0.1493,0.403,178.1,348.0
19120,1549,494,1055,140,298,0.6811,0.0904,0.1924,145.3,262.5
19121,757,477,280,45,138,0.3699,0.0594,0.1823,271.9,423.5
19122,428,134,294,32,115,0.6869,0.0748,0.2687,134.4,204.2
19123,189,158,31,53,100,0.164,0.2804,0.5291,154.5,267.1
19124,1582,756,826,278,541,0.5221,0.1757,0.342,118.0,242.0
19125,696,234,462,58,173,0.6638,0.0833,0.2486,144.9,282.9
19126,334,180,154,50,123,0.4611,0.1497,0.3683,135.9,276.8
19127,95,77,18,40,66,0.1895,0.4211,0.6947,82.6,192.4
19128,570,369,201,181,315,0.3526,0.3175,0.5526,93.0,196.1
19129,154,68,86,32,55,0.5584,0.2078,0.3571,91.6,235.8
19130,300,96,204,51,59,0.68,0.17,0.1967,82.2,356.0
19131,878,317,561,38,100,0.639,0.0433,0.1139,260.6,512.1
19132,820,413,407,95,231,0.4963,0.1159,0.2817,154.0,341.7
19133,390,138,252,34,100,0.6462,0.0872,0.2564,123.9,259.0
19134,1341,355,986,148,231,0.7353,0.1104,0.1723,131.7,403.8
19135,888,695,193,244,520,0.2173,0.2748,0.5856,114.0,309.7
19136,974,565,409,180,353,0.4199,0.1848,0.3624,135.4,326.8
19137,248,148,100,46,112,0.4032,0.1855,0.4516,105.5,233.7
19138,764,278,486,61,170,0.6361,0.0798,0.2225,168.0,277.4
19139,774,220,554,44,97,0.7158,0.0568,0.1253,205.7,458.9
19140,1284,409,875,102,237,0.6815,0.0794,0.1846,150.9,299.9
19141,536,371,165,146,274,0.3078,0.2724,0.5112,113.1,299.6
19142,598,428,170,58,248,0.2843,0.097,0.4147,162.8,268.1
19143,1347,763,584,151,390,0.4336,0.1121,0.2895,178.0,320.2
19144,860,209,651,39,88,0.757,0.0453,0.1023,189.1,290.5
19145,966,364,602,139,258,0.6232,0.1439,0.2671,107.9,307.8
19146,514,117,397,67,97,0.7724,0.1304,0.1887,76.7,230.4
19147,349,27,322,13,17,0.9226,0.0372,0.0487,91.9,278.4
19148,709,189,520,35,119,0.7334,0.0494,0.1678,150.1,270.0
19149,1243,491,752,197,390,0.605,0.1585,0.3138,108.0,202.0
19150,360,25,335,0,6,0.9306,0.0,0.0167,195.0,287.9
19151,663,352,311,65,150,0.4691,0.098,0.2262,210.3,427.4
19152,542,367,175,137,295,0.3229,0.2528,0.5443,106.9,207.4
19153,240,183,57,40,139,0.2375,0.1667,0.5792,127.2,249.2
19154,534,59,475,11,24,0.8895,0.0206,0.0449,192.5,298.0
Unknown,90,50,40,42,44,0.4444,0.4667,0.4889,1.5,194.2
